scenario_id,title,sector,asset_type,attack_description,defensive_action,reversibility,blast_radius,physical_process_effect,E,D,A,F,C,provisional_authority,final_authority,binding_constraint,boundary_margin,evidence_status,illustrative_or_empirical,weights,beta_vector,gate_states,gate_caps,assumptions
WW-001,Wastewater internet-facing PLC compromise,wastewater,pump-station PLC,Internet-exposed PLC is accessed using stolen credentials,Disable remote access and switch to local/manual monitoring,medium,high,pump control and overflow risk,0.197566,0.076648,0.764606,0.309997,0.422259,Human-approved intervention,Assisted defense,G_H,0.012902,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""fail"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
WW-002,Wastewater HMI ransomware,wastewater,operator HMI,Ransomware encrypts operator workstation,Isolate HMI and fail over to known-good station,medium,medium,loss of visibility/control possible,0.256523,0.547281,0.66486,0.26384,0.7032,Assisted defense,Assisted defense,Score,0.010942,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
RAIL-002,Rail maintenance VPN compromise,rail,maintenance VPN and engineering laptop,Compromised maintenance path reaches signalling support network,Terminate VPN and isolate engineering endpoint,high,medium,maintenance outage; no direct signalling write,0.979047,0.473422,0.649268,0.475149,0.409939,Shadow / restricted,Shadow / restricted,Score,0.064601,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
ROAD-001,Traffic-signal command injection,road/traffic management,intersection controller,Unauthorized command messages target signal timing,Block source and freeze remote timing changes,medium,high,traffic-safety disruption possible,0.413882,0.3275,0.234974,0.218762,0.783759,Assisted defense,Shadow / restricted,G_A,0.073215,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
ROAD-002,Traffic-management sensor spoofing,road/traffic management,roadside sensors and control center,Spoofed sensor streams distort congestion response,Quarantine sensor source and retain advisory-only mode,high,medium,misrouting and congestion possible,0.331217,0.713889,0.107438,0.543994,0.517132,Assisted defense,Assisted defense,Score,0.036781,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
HEALTH-001,Healthcare identity anomaly,healthcare,regional healthcare identity service,Credential stuffing and impossible-travel activity,Revoke suspicious tokens and require step-up authentication,high,low,limited direct patient-care effect,0.246589,0.165758,0.602774,0.453996,0.318723,Human-approved intervention,Assisted defense,G_FA,0.006635,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""fail"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
HEALTH-002,Medical IoT network anomaly,healthcare,networked medical devices,Lateral scanning and anomalous device communication,Micro-segment suspicious source after device-class validation,medium,medium,device availability risk,0.121545,0.264944,0.267041,0.18688,0.784884,Assisted defense,Assisted defense,Score,0.000951,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
HOSP-002,Hospital backup compromise,hospitals,backup and recovery infrastructure,Attacker attempts backup deletion before ransomware,Block destructive credentials and preserve immutable snapshots,high,medium,recovery-time consequence,0.70181,0.694157,0.544255,0.576934,0.640958,Shadow / restricted,Shadow / restricted,Score,0.013542,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
MFG-002,PLC logic integrity mismatch,smart manufacturing,PLC program and engineering station,PLC program hash differs from approved baseline,Block further writes and require engineer diff/restore,medium,high,production or safety effect possible,0.130857,0.525159,0.019239,0.209232,0.46838,Human-approved intervention,Shadow / restricted,G_A,0.05697,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
CHEM-001,Chemical process remote-command anomaly,chemical industry,distributed control system,Unexpected remote commands target process controller,Restrict network path and require process engineer approval,medium,high,process-safety consequence possible,0.483828,0.045365,0.52441,0.038586,0.27679,Human-approved intervention,Human-approved intervention,Score,0.061415,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
CHEM-002,Safety-instrumented-system access anomaly,chemical industry,SIS engineering interface,Unauthorized access attempt reaches SIS management plane,Disable remote account and preserve forensic image,high,high,safety system availability risk,0.109992,0.686779,0.111365,0.458076,0.611488,Assisted defense,Assisted defense,Score,0.070546,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
OIL-001,Pipeline compressor station intrusion,oil and gas,compressor station PLC,Remote maintenance compromise produces abnormal control traffic,Block remote session and transition to approved fallback,medium,high,pressure/flow consequence possible,0.503015,0.82534,0.386285,0.74941,0.530737,Shadow / restricted,Shadow / restricted,Score,0.04382,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
OIL-002,Pipeline leak-detection data poisoning,oil and gas,leak detection analytics,Manipulated telemetry suppresses anomaly evidence,Quarantine suspect feed and use redundant sensors,high,medium,delayed detection consequence,0.3709,0.289295,0.084102,0.158798,0.271819,Human-approved intervention,Assisted defense,G_H,0.044369,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""fail"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
TEL-001,Telecommunications core DDoS,telecommunications,core network service,High-rate traffic degrades control-plane service,Rate limit and scrub traffic under pre-authorized policy,high,medium,service availability effect,0.42744,0.789242,0.380018,0.581466,0.623528,Shadow / restricted,Shadow / restricted,Score,0.072514,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
TEL-002,5G management-plane credential compromise,telecommunications,5G management/orchestration,Privileged credentials used for suspicious configuration access,Revoke token and freeze config writes,high,medium,regional service impact possible,0.207358,0.07155,0.444666,0.383955,0.404095,Human-approved intervention,Human-approved intervention,Score,0.049704,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
CDI-002,Cloud control-plane identity compromise,cloud/digital infrastructure,cloud IAM and orchestration,Compromised privileged identity attempts resource changes,"Revoke token, freeze destructive API methods, preserve logs",high,medium,multi-tenant service impact possible,0.552692,0.420825,0.139745,0.396779,0.393625,Assisted defense,Shadow / restricted,G_A,0.043427,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
DC-001,Data-center cooling control anomaly,data centers,building/cooling management,Suspicious commands target cooling setpoints,Block remote write and hold deterministic safe setpoints,medium,high,thermal availability consequence,0.4755,0.430643,0.474122,0.839753,0.574681,Shadow / restricted,Shadow / restricted,Score,0.063968,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
PA-001,Public administration identity compromise,public administration,citizen-services identity platform,Credential compromise and anomalous administrative access,Revoke sessions and rotate privileged credentials,high,low,digital service disruption,0.265517,0.358427,0.318148,0.546987,0.52712,Assisted defense,Assisted defense,Score,0.063688,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
FOOD-001,Cold-chain warehouse control anomaly,food supply,refrigeration controller,Unauthorized setpoint changes target cold storage,Freeze remote changes and require local verification,medium,medium,product safety/spoilage risk,0.657278,0.170363,0.814764,0.558112,0.571137,Shadow / restricted,Shadow / restricted,Score,0.042149,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
LOG-001,Logistics warehouse automation compromise,logistics,warehouse control and robotics,Compromised control service issues abnormal task commands,Pause affected zone and isolate command source,medium,medium,operational delay and equipment risk,0.265277,0.371243,0.232854,0.497074,0.589007,Assisted defense,Assisted defense,Score,0.058899,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
